Your Sex?,Your Matric (grade 12) Average/ GPA (in %),What year were you in last year (2023) ?,What faculty does your degree fall under?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Your Accommodation Status Last Year (2023),Monthly Allowance in 2023,Were you on scholarship/bursary in 2023?,Additional amount of studying (in hrs) per week,How often do you go out partying/socialising during the week? ,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,Are you currently in a romantic relationship?,Do your parents approve alcohol consumption?,How strong is your relationship with your parent/s?,Monthly_Allowance_Numeric,Study_Hours_Per_Week,Party_Frequency_Per_Week,Alcohol_Drinks_Per_Night,Classes_Missed_Per_Week,Failed_Modules,Parent_Relationship_Score,Scholarship,In_Relationship,Parents_Approve_Alcohol,Alcohol_Exposure_Score,Academic_Risk_Score,Study_Hours,Alcohol_Drinks,Missed_Classes
Female,76.0,2nd Year,Arts & Social Sciences,72.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,8+,3,0,Yes,Yes,Very close,4500.0,9.0,1.0,9.0,3.0,0.0,4,0,1,1,9.0,2.1,9.0,9.0,3.0
Male,89.0,2nd Year,Economic & Management Sciences,75.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,"Yes (NSFAS, etc...)",8+,Only weekends,3-5,4+,0,No,Yes,Very close,7500.0,9.0,1.0,4.0,4.0,0.0,4,1,0,1,4.0,3.1,9.0,4.0,4.0
Male,76.0,1st Year,AgriSciences,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,8+,3,0,No,Yes,Very close,4500.0,4.0,2.0,9.0,3.0,0.0,4,0,0,1,18.0,2.6,4.0,9.0,3.0
Male,89.0,2nd Year,Engineering,83.5,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,3,8+,2,0,Yes,Yes,Very close,6500.0,4.0,3.0,9.0,2.0,0.0,4,0,1,1,27.0,1.6,4.0,9.0,2.0
Female,74.0,2nd Year,Arts & Social Sciences,52.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,Only weekends,5-8,1,3,No,Yes,Fair,4500.0,4.0,1.0,6.5,1.0,3.0,2,0,0,1,6.5,3.6,4.0,6.5,1.0
Male,83.0,Unknown,Engineering,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,4+,3-5,3,1,Yes,Yes,Very close,6500.0,9.0,4.0,4.0,3.0,1.0,4,0,1,1,16.0,3.1,9.0,4.0,3.0
Male,80.0,2nd Year,Economic & Management Sciences,54.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,2,5-8,1,0,No,Yes,Very close,5500.0,9.0,2.0,6.5,1.0,0.0,4,0,0,1,13.0,0.09999999999999998,9.0,6.5,1.0
Female,85.0,2nd Year,Arts & Social Sciences,75.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,3,3-5,2,0,Yes,Yes,Very close,5500.0,4.0,3.0,4.0,2.0,0.0,4,0,1,1,12.0,1.6,4.0,4.0,2.0
Male,89.0,Unknown,Engineering,65.0,Unknown,R 5001 - R 6000,No,8+,Only weekends,3-5,0,Unknown,No,Yes,Very close,5500.0,9.0,1.0,4.0,0.0,,4,0,0,1,4.0,0.6,9.0,4.0,0.0
Male,83.0,Unknown,Science,65.0,Unknown,R 6001 - R 7000,No,3-5,3,5-8,4+,0,No,Yes,Close,6500.0,4.0,3.0,6.5,4.0,0.0,3,0,0,1,19.5,3.6,4.0,6.5,4.0
Female,75.0,Unknown,AgriSciences,65.0,Unknown,R 4001- R 5000,No,5-8,2,5-8,0,0,No,Yes,Close,4500.0,6.5,2.0,6.5,0.0,0.0,3,0,0,1,13.0,-0.65,6.5,6.5,0.0
Female,80.0,2nd Year,Arts & Social Sciences,75.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,3,8+,0,0,No,Yes,Close,6500.0,9.0,3.0,9.0,0.0,0.0,3,0,0,1,27.0,-0.9,9.0,9.0,0.0
Male,79.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,3-5,2,4+,No,Yes,Very close,5500.0,4.0,2.0,4.0,2.0,4.0,4,0,0,1,8.0,5.6,4.0,4.0,2.0
Female,72.0,2nd Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,1,3-5,0,0,Yes,Yes,Very close,6500.0,2.0,1.0,4.0,0.0,0.0,4,0,1,1,4.0,-0.2,2.0,4.0,0.0
Male,78.0,Unknown,Science,65.0,Unknown,Unknown,Unknown,3-5,2,5-8,0,0,No,Yes,Very close,5500.0,4.0,2.0,6.5,0.0,0.0,4,0,0,1,13.0,-0.4,4.0,6.5,0.0
Female,87.0,1st Year,Science,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,1-3,0,0,No,Yes,Very close,4500.0,9.0,1.0,2.0,0.0,0.0,4,0,0,1,2.0,-0.9,9.0,2.0,0.0
Female,86.0,Unknown,Engineering,65.0,Private accommodation/ stay with family/friends,Unknown,No,3-5,1,3-5,0,0,No,Yes,Fair,5500.0,4.0,1.0,4.0,0.0,0.0,2,0,0,1,4.0,-0.4,4.0,4.0,0.0
Male,74.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,4+,5-8,0,0,Yes,Yes,Very close,5500.0,2.0,4.0,6.5,0.0,0.0,4,0,1,1,26.0,-0.2,2.0,6.5,0.0
Female,83.0,Unknown,Medicine and Health Services,65.0,Private accommodation/ stay with family/friends,Unknown,No,8+,Only weekends,1-3,0,0,Yes,Yes,Very close,5500.0,9.0,1.0,2.0,0.0,0.0,4,0,1,1,2.0,-0.9,9.0,2.0,0.0
Male,69.0,2nd Year,Arts & Social Sciences,55.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,Only weekends,5-8,3,3,No,Yes,Very close,6500.0,6.5,1.0,6.5,3.0,3.0,4,0,0,1,6.5,5.35,6.5,6.5,3.0
Male,79.0,2nd Year,Economic & Management Sciences,54.0,Non-private accommodation ie. Res,R 5001 - R 6000,No,5-8,2,0,0,1,No,Yes,Fair,5500.0,6.5,2.0,0.0,0.0,1.0,2,0,0,1,0.0,0.35,6.5,0.0,0.0
Male,80.0,2nd Year,Engineering,62.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,Only weekends,5-8,0,2,No,Yes,Very close,4500.0,9.0,1.0,6.5,0.0,2.0,4,1,0,1,6.5,1.1,9.0,6.5,0.0
Female,73.0,2nd Year,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,Unknown,No,1-3,Only weekends,1-3,0,2,No,No,Very close,5500.0,2.0,1.0,2.0,0.0,2.0,4,0,0,0,2.0,1.8,2.0,2.0,0.0
Female,83.0,2nd Year,Law,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,3-5,2,4+,No,Yes,Very close,4500.0,2.0,1.0,4.0,2.0,4.0,4,0,0,1,4.0,5.8,2.0,4.0,2.0
Female,78.0,1st Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,2,3-5,2,0,No,Yes,Very close,6500.0,9.0,2.0,4.0,2.0,0.0,4,0,0,1,8.0,1.1,9.0,4.0,2.0
Male,74.0,2nd Year,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,2,8+,2,2,No,Yes,Very close,6500.0,4.0,2.0,9.0,2.0,2.0,4,0,0,1,18.0,3.6,4.0,9.0,2.0
Male,83.0,3rd Year,Engineering,69.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,3-5,0,0,Yes,Yes,Very close,5500.0,9.0,1.0,4.0,0.0,0.0,4,0,1,1,4.0,-0.9,9.0,4.0,0.0
Male,79.0,2nd Year,Engineering,60.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,Only weekends,8+,1,3,No,Yes,Very close,8500.0,6.5,1.0,9.0,1.0,3.0,4,0,0,1,9.0,3.35,6.5,9.0,1.0
Female,83.0,2nd Year,Economic & Management Sciences,55.0,Non-private accommodation ie. Res,R 5001 - R 6000,No,8+,Only weekends,1-3,0,1,No,Yes,Very close,5500.0,9.0,1.0,2.0,0.0,1.0,4,0,0,1,2.0,0.09999999999999998,9.0,2.0,0.0
Female,79.0,1st Year,Economic & Management Sciences,74.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,3,5-8,0,0,No,Yes,Very close,6500.0,4.0,3.0,6.5,0.0,0.0,4,0,0,1,19.5,-0.4,4.0,6.5,0.0
Male,87.0,2nd Year,Engineering,70.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,5-8,0,0,No,Yes,Very close,5500.0,9.0,1.0,6.5,0.0,0.0,4,0,0,1,6.5,-0.9,9.0,6.5,0.0
Male,84.0,1st Year,Engineering,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,5-8,0,0,No,Yes,Very close,4500.0,9.0,1.0,6.5,0.0,0.0,4,0,0,1,6.5,-0.9,9.0,6.5,0.0
Male,84.0,Unknown,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,5-8,0,0,No,Yes,Close,5500.0,9.0,1.0,6.5,0.0,0.0,3,0,0,1,6.5,-0.9,9.0,6.5,0.0
Male,86.0,2nd Year,Economic & Management Sciences,54.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,5-8,2,1,Yes,Yes,Very close,5500.0,6.5,1.0,6.5,2.0,1.0,4,0,1,1,6.5,2.35,6.5,6.5,2.0
Female,80.0,2nd Year,Science,75.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,1,3-5,0,1,Yes,Yes,Very close,6500.0,9.0,1.0,4.0,0.0,1.0,4,0,1,1,4.0,0.09999999999999998,9.0,4.0,0.0
Male,80.0,1st Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,0,8+,2,0,No,Yes,Very close,4500.0,4.0,0.0,9.0,2.0,0.0,4,0,0,1,0.0,1.6,4.0,9.0,2.0
Male,78.0,2nd Year,Economic & Management Sciences,73.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,2,5-8,2,0,No,Yes,Very close,5500.0,6.5,2.0,6.5,2.0,0.0,4,0,0,1,13.0,1.35,6.5,6.5,2.0
Male,73.0,1st Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,8+,2,3,Yes,Yes,Close,5500.0,6.5,1.0,9.0,2.0,3.0,3,0,1,1,9.0,4.35,6.5,9.0,2.0
Male,96.5,2nd Year,Economic & Management Sciences,83.5,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,3-5,3,4+,No,Yes,Very close,4500.0,6.5,1.0,4.0,3.0,4.0,4,0,0,1,4.0,6.35,6.5,4.0,3.0
Female,82.6,2nd Year,Arts & Social Sciences,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,3,1-3,0,0,Yes,Yes,Close,4500.0,9.0,3.0,2.0,0.0,0.0,3,0,1,1,6.0,-0.9,9.0,2.0,0.0
Female,78.0,1st Year,Economic & Management Sciences,78.0,Private accommodation/ stay with family/friends,R 8000+,No,1-3,3,5-8,2,0,Yes,Yes,Close,8500.0,2.0,3.0,6.5,2.0,0.0,3,0,1,1,19.5,1.8,2.0,6.5,2.0
Female,65.0,2nd Year,Economic & Management Sciences,55.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,3-5,2,4+,Yes,Yes,Very close,4500.0,4.0,1.0,4.0,2.0,4.0,4,0,1,1,4.0,5.6,4.0,4.0,2.0
Male,84.0,2nd Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,8+,4+,0,Yes,Yes,Very close,5500.0,2.0,1.0,9.0,4.0,0.0,4,0,1,1,9.0,3.8,2.0,9.0,4.0
Female,83.0,Unknown,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,Only weekends,1-3,0,0,No,Yes,Close,5500.0,2.0,1.0,2.0,0.0,0.0,3,0,0,1,2.0,-0.2,2.0,2.0,0.0
Female,80.0,Unknown,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,1-3,0,0,Yes,Yes,Very close,4500.0,2.0,1.0,2.0,0.0,0.0,4,0,1,1,2.0,-0.2,2.0,2.0,0.0
Female,80.0,Unknown,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,3-5,2,0,Yes,Yes,Very close,5500.0,4.0,2.0,4.0,2.0,0.0,4,0,1,1,8.0,1.6,4.0,4.0,2.0
Male,81.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,2,5-8,0,3,Yes,Yes,Very close,6500.0,2.0,2.0,6.5,0.0,3.0,4,0,1,1,13.0,2.8,2.0,6.5,0.0
Male,76.0,1st Year,Arts & Social Sciences,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,1,1-3,0,0,Yes,Yes,Very close,5500.0,4.0,1.0,2.0,0.0,0.0,4,0,1,1,2.0,-0.4,4.0,2.0,0.0
Male,76.0,2nd Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,0,5-8,0,0,Yes,Yes,Close,4500.0,9.0,0.0,6.5,0.0,0.0,3,0,1,1,0.0,-0.9,9.0,6.5,0.0
Female,88.0,1st Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,1-3,0,1,Yes,Yes,Very close,5500.0,2.0,1.0,2.0,0.0,1.0,4,0,1,1,2.0,0.8,2.0,2.0,0.0
Male,75.0,2nd Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 8000+,No,5-8,Only weekends,1-3,1,2,No,Yes,Close,8500.0,6.5,1.0,2.0,1.0,2.0,3,0,0,1,2.0,2.35,6.5,2.0,1.0
Male,70.0,Unknown,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,1,3-5,0,0,No,Yes,Close,7500.0,4.0,1.0,4.0,0.0,0.0,3,0,0,1,4.0,-0.4,4.0,4.0,0.0
Female,70.0,1st Year,Economic & Management Sciences,65.0,Non-private accommodation ie. Res,R 4001- R 5000,No,3-5,2,3-5,2,0,Yes,No,Very close,4500.0,4.0,2.0,4.0,2.0,0.0,4,0,1,0,8.0,1.6,4.0,4.0,2.0
Male,84.0,1st Year,Science,74.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,1,1-3,0,0,No,Yes,Close,4500.0,2.0,1.0,2.0,0.0,0.0,3,0,0,1,2.0,-0.2,2.0,2.0,0.0
Male,96.5,1st Year,Engineering,83.5,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",1-3,Only weekends,8+,0,4+,Yes,No,Distant,4500.0,2.0,1.0,9.0,0.0,4.0,1,1,1,0,9.0,3.8,2.0,9.0,0.0
Male,72.0,2nd Year,Arts & Social Sciences,76.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,1,1-3,0,0,Yes,Yes,Close,4500.0,2.0,1.0,2.0,0.0,0.0,3,0,1,1,2.0,-0.2,2.0,2.0,0.0
Female,84.0,1st Year,Medicine and Health Services,80.0,Non-private accommodation ie. Res,R 6001 - R 7000,No,8+,Only weekends,5-8,2,0,No,Yes,Very close,6500.0,9.0,1.0,6.5,2.0,0.0,4,0,0,1,6.5,1.1,9.0,6.5,2.0
Male,85.0,2nd Year,Economic & Management Sciences,66.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,1,8+,4+,0,Yes,Yes,Fair,4500.0,9.0,1.0,9.0,4.0,0.0,2,1,1,1,9.0,3.1,9.0,9.0,4.0
Female,84.0,1st Year,Medicine and Health Services,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,3-5,0,0,No,Yes,Very close,4500.0,2.0,1.0,4.0,0.0,0.0,4,0,0,1,4.0,-0.2,2.0,4.0,0.0
Female,90.0,2nd Year,Law,70.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,Only weekends,3-5,0,3,No,Yes,Very close,5500.0,6.5,1.0,4.0,0.0,3.0,4,0,0,1,4.0,2.35,6.5,4.0,0.0
Female,72.0,3rd Year,Education,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,2,5-8,0,1,No,Yes,Very close,6500.0,4.0,2.0,6.5,0.0,1.0,4,0,0,1,13.0,0.6,4.0,6.5,0.0
Female,78.0,1st Year,Science,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,3,3-5,2,0,No,Yes,Close,4500.0,6.5,3.0,4.0,2.0,0.0,3,0,0,1,12.0,1.35,6.5,4.0,2.0
Female,83.0,2nd Year,Engineering,63.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,3-5,0,0,No,Yes,Close,4500.0,9.0,1.0,4.0,0.0,0.0,3,0,0,1,4.0,-0.9,9.0,4.0,0.0
Female,85.0,1st Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,1-3,0,0,Yes,Yes,Very close,4500.0,9.0,1.0,2.0,0.0,0.0,4,0,1,1,2.0,-0.9,9.0,2.0,0.0
Female,81.0,2nd Year,Unknown,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",8+,Only weekends,3-5,1,1,No,Yes,Very close,5500.0,9.0,1.0,4.0,1.0,1.0,4,1,0,1,4.0,1.1,9.0,4.0,1.0
Female,84.0,1st Year,Science,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,3-5,3,0,Yes,Yes,Very close,4500.0,9.0,1.0,4.0,3.0,0.0,4,0,1,1,4.0,2.1,9.0,4.0,3.0
Male,76.0,2nd Year,Science,65.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,1,0,0,0,Yes,Yes,Very close,7500.0,9.0,1.0,0.0,0.0,0.0,4,0,1,1,0.0,-0.9,9.0,0.0,0.0
Female,80.0,2nd Year,Engineering,61.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,Only weekends,1-3,Unknown,0,Yes,Yes,Close,7500.0,4.0,1.0,2.0,0.0,0.0,3,0,1,1,2.0,0.6,4.0,2.0,
Female,73.0,Unknown,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,2,1-3,0,0,No,Yes,Very close,4500.0,4.0,2.0,2.0,0.0,0.0,4,1,0,1,4.0,-0.4,4.0,2.0,0.0
Male,85.0,4th Year,AgriSciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,2,8+,0,0,Yes,Yes,Very close,6500.0,6.5,2.0,9.0,0.0,0.0,4,0,1,1,18.0,-0.65,6.5,9.0,0.0
Female,84.0,2nd Year,Science,65.0,Non-private accommodation ie. Res,Unknown,"Yes (NSFAS, etc...)",5-8,1,1-3,0,0,Yes,Yes,Very close,5500.0,6.5,1.0,2.0,0.0,0.0,4,1,1,1,2.0,-0.65,6.5,2.0,0.0
Male,85.0,1st Year,Arts & Social Sciences,58.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,5-8,2,0,No,Yes,Very close,5500.0,4.0,1.0,6.5,2.0,0.0,4,0,0,1,6.5,1.6,4.0,6.5,2.0
